fullname,Call Me by Your Name,Darkest Hour,Dunkirk,Get Out,Lady Bird,Phantom Thread,The Post,The Shape of Water,Three Billboards,insufficient_data,month
AfghanistanBadakhshan,1641.5,1601.0,1512.0,1464.0,1641.5,1704.5,1693.5,1684.0,1697.0,2629.5,1
AfghanistanBadghis,1641.5,1601.0,1512.0,1464.0,1641.5,1704.5,1693.5,1684.0,1697.0,2629.5,1
AfghanistanBaghlan,1641.5,1601.0,1512.0,1464.0,1641.5,1704.5,1693.5,1684.0,1697.0,2629.5,1
AfghanistanBalkh,1641.5,1601.0,1512.0,1464.0,1641.5,1704.5,1693.5,1684.0,1697.0,2629.5,1
AfghanistanBamyan,1641.5,1601.0,1512.0,1464.0,1641.5,1704.5,1693.5,1684.0,1697.0,2629.5,1
AfghanistanDaykundi,1641.5,1601.0,1512.0,1464.0,1641.5,1704.5,1693.5,1684.0,1697.0,2629.5,1
AfghanistanFarah,1641.5,1601.0,1512.0,1464.0,1641.5,1704.5,1693.5,1684.0,1697.0,2629.5,1
AfghanistanFaryab,1641.5,1601.0,1512.0,1464.0,1641.5,1704.5,1693.5,1684.0,1697.0,2629.5,1
AfghanistanGhazni,1641.5,1601.0,1512.0,1464.0,1641.5,1704.5,1693.5,1684.0,1697.0,2629.5,1
AfghanistanGhor,1641.5,1601.0,1512.0,1464.0,1641.5,1704.5,1693.5,1684.0,1697.0,2629.5,1
AfghanistanHilmand,1641.5,1601.0,1512.0,1464.0,1641.5,1704.5,1693.5,1684.0,1697.0,2629.5,1
AfghanistanHirat,1641.5,1601.0,1512.0,1464.0,1641.5,1704.5,1693.5,1684.0,1697.0,2629.5,1
AfghanistanJawzjan,1641.5,1601.0,1512.0,1464.0,1641.5,1704.5,1693.5,1684.0,1697.0,2629.5,1
AfghanistanKabul,1641.5,1601.0,1512.0,3140.0,1641.5,1704.5,1693.5,1684.0,1697.0,2629.5,1
AfghanistanKandahar,1641.5,1601.0,1512.0,1464.0,1641.5,1704.5,1693.5,1684.0,1697.0,2629.5,1
AfghanistanKapisa,1641.5,1601.0,1512.0,1464.0,1641.5,1704.5,1693.5,1684.0,1697.0,2629.5,1
AfghanistanKhost,1641.5,1601.0,1512.0,1464.0,1641.5,1704.5,1693.5,1684.0,1697.0,2629.5,1
AfghanistanKunar,1641.5,1601.0,1512.0,1464.0,1641.5,1704.5,1693.5,1684.0,1697.0,2629.5,1
AfghanistanKunduz,1641.5,1601.0,1512.0,1464.0,1641.5,1704.5,1693.5,1684.0,1697.0,2629.5,1
AfghanistanLaghman,1641.5,1601.0,1512.0,1464.0,1641.5,1704.5,1693.5,1684.0,1697.0,2629.5,1
AfghanistanLogar,1641.5,1601.0,1512.0,1464.0,1641.5,1704.5,1693.5,1684.0,1697.0,2629.5,1
AfghanistanNangarhar,1641.5,1601.0,1512.0,1464.0,1641.5,1704.5,1693.5,1684.0,1697.0,2629.5,1
AfghanistanNimroz,1641.5,1601.0,1512.0,1464.0,1641.5,1704.5,1693.5,1684.0,1697.0,2629.5,1
AfghanistanNuristan,1641.5,1601.0,1512.0,1464.0,1641.5,1704.5,1693.5,1684.0,1697.0,2629.5,1
AfghanistanPaktika,1641.5,1601.0,1512.0,1464.0,1641.5,1704.5,1693.5,1684.0,1697.0,2629.5,1
AfghanistanPaktya,1641.5,1601.0,1512.0,1464.0,1641.5,1704.5,1693.5,1684.0,1697.0,2629.5,1
AfghanistanPanjshir,1641.5,1601.0,1512.0,1464.0,1641.5,1704.5,1693.5,1684.0,1697.0,2629.5,1
AfghanistanParwan,1641.5,1601.0,1512.0,3407.0,1641.5,1704.5,1693.5,1684.0,1697.0,2629.5,1
AfghanistanSamangan,1641.5,1601.0,1512.0,1464.0,1641.5,1704.5,1693.5,1684.0,1697.0,2629.5,1
AfghanistanSari Pul,1641.5,1601.0,1512.0,1464.0,1641.5,1704.5,1693.5,1684.0,1697.0,2629.5,1
AfghanistanTakhar,1641.5,1601.0,1512.0,1464.0,1641.5,1704.5,1693.5,1684.0,1697.0,2629.5,1
AfghanistanUruzgan,1641.5,1601.0,1512.0,1464.0,1641.5,1704.5,1693.5,1684.0,1697.0,2629.5,1
AfghanistanWardak,1641.5,1601.0,1512.0,1464.0,1641.5,1704.5,1693.5,1684.0,1697.0,2629.5,1
